,Paper,Material,Property,Value,Unit
0,1 PBTTT-C14.pdf,unknown,FF,0.48,N/A
1,1 PBTTT-C14.pdf,pBTTT,PCE,2.3,%
2,1 PBTTT-C14.pdf,pBTTT:PC-71-BM,JSC,9.37,mA/cm2
3,1 PBTTT-C14.pdf,pBTTT:PC-71-BM,VOC,0.525,V
4,2 Blouin_et_al-2007-Advanced_Materials.pdf,PCBM,PCE,3.6,%
5,2 Blouin_et_al-2007-Advanced_Materials.pdf,unknown,PCE,3.0,N/A
6,2 Blouin_et_al-2007-Advanced_Materials.pdf,unknown,PCE,0.6,%
7,2 Blouin_et_al-2007-Advanced_Materials.pdf,unknown,VOC,0.9,V
8,2 Blouin_et_al-2007-Advanced_Materials.pdf,unknown,VOC,0.89,V
9,2 Blouin_et_al-2007-Advanced_Materials.pdf,unknown,PCE,0.8,%
10,3 PCPDTBT.pdf,unknown,PCE,5.1,%
11,3 PCPDTBT.pdf,unknown,FF,0.53,N/A
12,3 PCPDTBT.pdf,unknown,VOC,0.61,V
13,3 PCPDTBT.pdf,unknown,JSC,15.7,mA/cm2
14,4 PffBT4T.pdf,E135–E138(2010,PCE,7.4,%
15,4 PffBT4T.pdf,unknown,FF,0.75,N/A
16,4 PffBT4T.pdf,unknown,VOC,0.7743,N/A
17,4 PffBT4T.pdf,unknown,JSC,0.00079,N/A
18,4 PffBT4T.pdf,unknown,PCE,7.7,%
19,4 PffBT4T.pdf,unknown,FF,0.72,N/A
20,4 PffBT4T.pdf,PCBM,PCE,9.6,N/A
21,4 PffBT4T.pdf,PCBM,FF,0.73,N/A
22,4 PffBT4T.pdf,unknown,PCE,10.36,N/A
23,4 PffBT4T.pdf,unknown,PCE,49.0,%
24,5 PBDTTT-CF.pdf,PBDTTT–CF,PCE,7.38,N/A
25,5 PBDTTT-CF.pdf,unknown,PCE,6.1,%
26,5 PBDTTT-CF.pdf,unknown,JSC,0.63240,N/A
27,5 PBDTTT-CF.pdf,PBDTTT4,PCE,6.77,%
28,5 PBDTTT-CF.pdf,NREL)for,PCE,6.77,%
29,5 PBDTTT-CF.pdf,unknown,JSC,13.364,mAcm−2
30,5 PBDTTT-CF.pdf,unknown,VOC,0.7631,V
31,5 PBDTTT-CF.pdf,unknown,FF,0.6639,%
32,5 PBDTTT-CF.pdf,PBDTTT–CF,PCE,7.73,%
33,5 PBDTTT-CF.pdf,PBDTTT–CF,VOC,0.76,V
34,5 PBDTTT-CF.pdf,NREL)for,PCE,7.38,%
35,6 PSBTBT.pdf,unknown,FF,0.55,%
36,6 PSBTBT.pdf,unknown,JSC,12.7,mA/cm2
37,6 PSBTBT.pdf,unknown,VOC,0.68,V
38,6 PSBTBT.pdf,unknown,PCE,43,%
39,6 PSBTBT.pdf,unknown,PCE,4.7,%
40,6 PSBTBT.pdf,unknown,PCE,5.1,%
41,7 PNTz4T.pdf,unknown,JSC,19.4,mAcm
42,7 PNTz4T.pdf,PC61BM,PCE,9.80,%
43,7 PNTz4T.pdf,unknown,JSC,19.4,N/A
44,7 PNTz4T.pdf,PC71BM,PCE,10,%
45,7 PNTz4T.pdf,unknown,JSC,17.7,mAcm
46,7 PNTz4T.pdf,PC71BM,VOC,0.708,V
47,7 PNTz4T.pdf,unknown,VOC,0.738,V
48,7 PNTz4T.pdf,PC71BM,FF,0.7340000000000001,%
49,7 PNTz4T.pdf,unknown,PCE,10.31,%
50,7 PNTz4T.pdf,PC61BM,FF,0.7390000000000001,%
51,7 PNTz4T.pdf,unknown,PCE,7.4,%
52,7 PNTz4T.pdf,PC61BM,VOC,0.746,V
53,7 PNTz4T.pdf,PC61BM,VOC,0.729,V
54,7 PNTz4T.pdf,unknown,PCE,8.70,%
55,7 PNTz4T.pdf,PC61BM,JSC,18.2,mAcm
56,7 PNTz4T.pdf,PC61BM)as,PCE,6.3,%
57,7 PNTz4T.pdf,PC61BM,PCE,6.55,%
58,8 PSEHTT.pdf,PSEHTT,PCE,5.52,%
59,8 PSEHTT.pdf,DBFI-EDOT:PSEHTT:PBDTT-FTTE,PCE,8.52,%
60,8 PSEHTT.pdf,DBFI-EDOT:PBDTT-FTTE,PCE,6.70,%
61,8 PSEHTT.pdf,PSEHTT,PCE,5.62,%
62,9 PNOz4T.pdf,E135–E138(2010,PCE,7.4,%
63,9 PNOz4T.pdf,PC71BM,JSC,2.0,N/A
64,9 PNOz4T.pdf,PC61BM,VOC,0.97,V
65,9 PNOz4T.pdf,PC71BM,FF,0.64,N/A
66,9 PNOz4T.pdf,unknown,PCE,10.31,%
67,9 PNOz4T.pdf,PC71BM,PCE,8.9,%
68,9 PNOz4T.pdf,PC61BM,FF,0.62,N/A
69,9 PNOz4T.pdf,PC71BM,JSC,14.5,mAcm–2
70,9 PNOz4T.pdf,unknown,JSC,10.0,N/A
71,9 PNOz4T.pdf,PC61BM,JSC,9.6,mAcm–2
72,9 PNOz4T.pdf,PC61BM,VOC,1.0,V
73,9 PNOz4T.pdf,unknown,PCE,5.7,%
74,9 PNOz4T.pdf,PCBM,JSC,15,mAcm–2
75,9 PNOz4T.pdf,HOMO,VOC,0.71,N/A
76,9 PNOz4T.pdf,PC71BM,VOC,0.96,V
77,9 PNOz4T.pdf,PC61BM,JSC,14.6,mAcm–2
78,9 PNOz4T.pdf,unknown,VOC,0.70,V
79,9 PNOz4T.pdf,PC61BM,FF,0.59,N/A
80,9 PNOz4T.pdf,unknown,VOC,0.91,V
81,9 PNOz4T.pdf,PC61BM,PCE,5.6,%
82,10 P3HT.pdf,P3HT,PCE,1.8,%
83,10 P3HT.pdf,P3HT,VOC,0.62,V
84,10 P3HT.pdf,P3HT,PCE,2.4,%
85,10 P3HT.pdf,P3HT,JSC,6.28,mAcm−2
86,10 P3HT.pdf,P3HT,FF,0.39399999999999996,%
87,10 P3HT.pdf,P3HT,PCE,1.3,%
88,10 P3HT.pdf,P3HT,FF,0.321,%
89,10 P3HT.pdf,P3HT,JSC,7.26,mAcm−2
90,10 P3HT.pdf,P3HT,PCE,0.9,%
91,10 P3HT.pdf,P3HT,FF,0.37799999999999995,%
92,10 P3HT.pdf,P3HT,JSC,5.1,mAcm−2
93,10 P3HT.pdf,P3HT,JSC,7.28,mAcm−2
94,10 P3HT.pdf,P3HT,FF,0.49700000000000005,%
95,10 P3HT.pdf,P3HT,JSC,3.07,mAcm−2
96,10 P3HT.pdf,P3HT,JSC,3.27,mAcm−2
97,10 P3HT.pdf,P3HT,PCE,0.7,%
98,10 P3HT.pdf,P3HT,PCE,2.1,%
99,10 P3HT.pdf,P3HT,VOC,0.61,V
100,10 P3HT.pdf,P3HT,FF,0.439,%
101,10 P3HT.pdf,P3HT,VOC,0.56,V
102,10 P3HT.pdf,P3HT,VOC,0.57,V
103,10 P3HT.pdf,P3HT,VOC,0.6,V
104,10 P3HT.pdf,P3HT,FF,0.37,%
105,11 PQT-12.pdf,unknown,PCE,0.8,%
106,11 PQT-12.pdf,P3HT,PCE,3.3,%
107,11 PQT-12.pdf,unknown,VOC,0.69,V
108,11 PQT-12.pdf,unknown,PCE,3.45,N/A
109,11 PQT-12.pdf,P3HT,PCE,4.33,%
110,11 PQT-12.pdf,unknown,FF,0.35,N/A
111,12 PTB7-Th.pdf,HOMO,PCE,6.1,%
112,13 PTB7.pdf,unknown,PCE,7.4,%
113,13 PTB7.pdf,unknown,PCE,7.40,%
114,13 PTB7.pdf,unknown,JSC,13.56,mAcm-2
115,13 PTB7.pdf,unknown,PCE,3.92,%
116,13 PTB7.pdf,unknown,FF,0.5922999999999999,%
117,13 PTB7.pdf,unknown,JSC,14.16,mAcm-2
118,13 PTB7.pdf,unknown,FF,0.69,%
119,13 PTB7.pdf,unknown,JSC,10.2,mAcm-2
120,13 PTB7.pdf,unknown,PCE,6.02,%
121,13 PTB7.pdf,PTB1,VOC,0.75,V
122,13 PTB7.pdf,unknown,FF,0.5052,%
123,13 PTB7.pdf,unknown,JSC,14.5,mAcm-2
124,14 c4ee01529k.pdf,PPDT2FBT,JSC,12.9,N/A
125,14 c4ee01529k.pdf,PPDT2FBT:PC70BM,FF,0.71,N/A
126,14 c4ee01529k.pdf,unknown,FF,0.73,N/A
127,14 c4ee01529k.pdf,unknown,PCE,9.39,%
128,14 c4ee01529k.pdf,PPDT2FBT,VOC,0.78,V
129,14 c4ee01529k.pdf,PPDT2FBT,PCE,8.64,%
130,14 c4ee01529k.pdf,KIER(Fig,PCE,8.78,%
131,14 c4ee01529k.pdf,PPDT2FBT:PC70BM,JSC,15.7,N/A
132,14 c4ee01529k.pdf,PPDT2FBT,FF,0.71,N/A
133,14 c4ee01529k.pdf,unknown,VOC,0.79,V
134,14 c4ee01529k.pdf,unknown,PCE,9.21,%
135,14 c4ee01529k.pdf,PPDT2FBT,PCE,7.18,%
136,14 c4ee01529k.pdf,unknown,JSC,16.30,mAcm
137,15 P1.pdf,PCBM,VOC,0.71,V
138,15 P1.pdf,unknown,JSC,6.7,mAcm22
139,15 P1.pdf,unknown,PCE,0.04,%
140,15 P1.pdf,P3HT:PDI(1:4)device,PCE,0.19,%
141,15 P1.pdf,PCBM,FF,0.37,N/A
142,15 P1.pdf,P3HT,PCE,0.39,%
143,15 P1.pdf,P3HT:PDI(1:4)device,VOC,0.40,V
144,15 P1.pdf,unknown,FF,0.43,N/A
145,15 P1.pdf,unknown,PCE,3.2,%
146,15 P1.pdf,P3HT:PDI(1:4)device,JSC,0.12,mAcm22
147,15 P1.pdf,unknown,PCE,0.6,%
148,15 P1.pdf,PCBM,PCE,0.63,%
149,15 P1.pdf,unknown,VOC,0.7,V
150,15 P1.pdf,PCBM,JSC,0.26,mAcm22
151,15 P1.pdf,P3HT:PDI(1:4)device,FF,0.39,N/A
152,15 P1.pdf,"P3HT:PDI(1:4)device,15",PCE,0.4,%
153,16 Leclerc_et_al-2006-Advanced_Functional_Materials.pdf,PCPTDO,PCE,55,%
154,16 Leclerc_et_al-2006-Advanced_Functional_Materials.pdf,PCBM,PCE,2.2,%
155,16 Leclerc_et_al-2006-Advanced_Functional_Materials.pdf,unknown,PCE,0.6,%
156,16 Leclerc_et_al-2006-Advanced_Functional_Materials.pdf,PCPTDO,VOC,0.850,V
157,17 nphoton.2009.69.pdf,PCDTBT/PC70BM,VOC,5,N/A
158,17 nphoton.2009.69.pdf,PCDTBT/PC70BM,FF,0.05,N/A
159,17 nphoton.2009.69.pdf,unknown,FF,0.65,N/A
160,17 nphoton.2009.69.pdf,unknown,FF,0.6397999999999999,%
161,17 nphoton.2009.69.pdf,unknown,VOC,0.86,V
162,17 nphoton.2009.69.pdf,unknown,JSC,6.0,mAcm22
163,17 nphoton.2009.69.pdf,PCDTBT/PC70BM,FF,0.66,N/A
164,17 nphoton.2009.69.pdf,unknown,FF,0.65,%
165,17 nphoton.2009.69.pdf,PCDTBT/PC70BM,JSC,10.6,mAcm22
166,17 nphoton.2009.69.pdf,PCDTBT/PC70BM,VOC,0.88,V
167,17 nphoton.2009.69.pdf,unknown,PCE,17.0,%
168,17 nphoton.2009.69.pdf,HOMO,PCE,6,%
169,17 nphoton.2009.69.pdf,PCDTBT,PCE,3.6,%
170,17 nphoton.2009.69.pdf,PCDTBT/PC70BM,JSC,5,N/A
171,17 nphoton.2009.69.pdf,unknown,FF,0.66,%
172,17 nphoton.2009.69.pdf,NREL,PCE,5.96,%
173,17 nphoton.2009.69.pdf,unknown,PCE,6.1,%
174,18 ja0771989.pdf,PCDTBT,PCE,3.6,%
175,18 ja0771989.pdf,LUMO,FF,0.65,N/A
176,18 ja0771989.pdf,unknown,PCE,3.2,N/A
177,18 ja0771989.pdf,unknown,PCE,2.0,N/A
178,19 Gendron_et_al-2010-Macromolecular_Rapid_Communications.pdf,unknown,VOC,0.91,V
179,20 ma100039q.pdf,DTBT-based,VOC,0.56,N/A
180,20 ma100039q.pdf,DTBT-based,VOC,0.80,N/A
181,21 Yi_et_al-2008-Macromolecular_Rapid_Communications.pdf,PCBM,VOC,0.4,V
182,21 Yi_et_al-2008-Macromolecular_Rapid_Communications.pdf,PCBM(1:1,JSC,5.2,N/A
183,21 Yi_et_al-2008-Macromolecular_Rapid_Communications.pdf,PCBM(1:1,VOC,0.4,V
184,21 Yi_et_al-2008-Macromolecular_Rapid_Communications.pdf,PCBM(1:1,PCE,0.61,%
185,21 Yi_et_al-2008-Macromolecular_Rapid_Communications.pdf,unknown,VOC,0.41,V
186,21 Yi_et_al-2008-Macromolecular_Rapid_Communications.pdf,PEDOT:PSS/P3:PCBM/Ca/Ag,PCE,0.09,%
187,21 Yi_et_al-2008-Macromolecular_Rapid_Communications.pdf,unknown,FF,0.29,%
188,22 ja907506r.pdf,PDPP3T:[70]PCBM,VOC,0.65,V
189,22 ja907506r.pdf,PDPP3T:[60]PCBM,JSC,8.3,mA/cm2
190,22 ja907506r.pdf,PDPP3T:[60]PCBM,FF,0.67,N/A
191,22 ja907506r.pdf,PDPP3T,PCE,4.7,%
192,22 ja907506r.pdf,PDPP3T:[70]PCBM,FF,0.60,N/A
193,22 ja907506r.pdf,PDPP3T:[60]PCBM,VOC,0.68,V
194,22 ja907506r.pdf,PDPP3T:PCBM,VOC,0.65,N/A
195,22 ja907506r.pdf,PDPP3T:[70]PCBM,JSC,11.8,mA/cm2
196,22 ja907506r.pdf,PDPP3T:[60]PCBM,PCE,3.8,%
197,24 1%2E3508951.pdf,unknown,FF,0.55,N/A
198,24 1%2E3508951.pdf,unknown,VOC,0.77,V
199,24 1%2E3508951.pdf,unknown,JSC,9.10,mA/cm2
200,24 1%2E3508951.pdf,PCBTDPP,PCE,3.80,%
201,25 ma9025866.pdf,"PGFDTDPP(C8),",VOC,0.76,V
202,25 ma9025866.pdf,unknown,VOC,0.74,N/A
203,25 ma9025866.pdf,DTBT,PCE,5.4,%
204,25 ma9025866.pdf,PGFDTBT,JSC,6.9,N/A
205,25 ma9025866.pdf,DTBT-based,VOC,0.95,N/A
206,25 ma9025866.pdf,"PGFDTDPP(C8),",JSC,2.8,N/A
207,25 ma9025866.pdf,PGFDTBT,PCE,2.8,%
208,25 ma9025866.pdf,unknown,PCE,0.78,N/A
209,25 ma9025866.pdf,unknown,PCE,5.5,%
210,25 ma9025866.pdf,"PGFDTDPP(C8),",VOC,0.76,N/A
211,25 ma9025866.pdf,DTBT,VOC,0.90,N/A
212,25 ma9025866.pdf,PGFDTDPP,JSC,4.1,N/A
213,25 ma9025866.pdf,unknown,PCE,6.1,%
214,25 ma9025866.pdf,DTBT,VOC,0.99,N/A
215,25 ma9025866.pdf,"PGFDTDPP(C8),",PCE,1.2,%
216,25 ma9025866.pdf,PGFDTDPP,FF,0.62,N/A
217,25 ma9025866.pdf,PGFDTBT,FF,0.51,N/A
218,25 ma9025866.pdf,PGFDTBT,VOC,0.79,V
219,25 ma9025866.pdf,"PGFDTDPP(C8),",FF,0.56,N/A
220,25 ma9025866.pdf,DTBT,PCE,4.2,%
221,25 ma9025866.pdf,PGFDTDPP,VOC,0.76,V
222,25 ma9025866.pdf,PGFDTDPP,PCE,1.5,%
223,25 ma9025866.pdf,unknown,PCE,54,%
224,26 cm901487f.pdf,DTDPP,PCE,1.6,%
225,26 cm901487f.pdf,PDTP-DTDPP:PCBM,PCE,1.12,%
226,26 cm901487f.pdf,DTDPP:PCBM,PCE,2.26,%
227,27 ma902398q.pdf,LUMO,PCE,1.1,%
228,27 ma902398q.pdf,unknown,JSC,15,%
229,28 ma9012972.pdf,PDPP-BDP,PCE,4.45,%
230,28 ma9012972.pdf,PDPP-BDP-,PCE,2.9,%
231,28 ma9012972.pdf,PDPP-BDP,JSC,10.0,mA/cm2
232,28 ma9012972.pdf,PDPP-BDP,VOC,0.72,V
233,28 ma9012972.pdf,PDPP-BDP,FF,0.618,%
234,29 cm100661z.pdf,P4TDPP/PC71BM,JSC,8.05,mA/cm2
235,29 cm100661z.pdf,P4TDPP/PC71BM,FF,0.46,N/A
236,29 cm100661z.pdf,P4TDPP/PC71BM,VOC,0.65,V
237,29 cm100661z.pdf,P4TDPP/PC71BM,PCE,2.43,%
238,30 Guan-Yu_et_al-2010-Journal_of_Polymer_Science_Part_A-_Polymer_Chemistry.pdf,PCBM,PCE,6.60,mA/cm2
239,30 Guan-Yu_et_al-2010-Journal_of_Polymer_Science_Part_A-_Polymer_Chemistry.pdf,PCTDPP,PCE,10.87,mA/cm2
240,30 Guan-Yu_et_al-2010-Journal_of_Polymer_Science_Part_A-_Polymer_Chemistry.pdf,2010blend,PCE,2.27,%
241,30 Guan-Yu_et_al-2010-Journal_of_Polymer_Science_Part_A-_Polymer_Chemistry.pdf,PCPDTBT/PC71BM,PCE,5.5,%
242,30 Guan-Yu_et_al-2010-Journal_of_Polymer_Science_Part_A-_Polymer_Chemistry.pdf,2010blend,JSC,10.87,mA/cm2
243,31 ja808373p.pdf,unknown,FF,0.633,%
244,31 ja808373p.pdf,unknown,JSC,15.0,mA/cm2
245,31 ja808373p.pdf,PTB1,PCE,5.6,%
246,31 ja808373p.pdf,unknown,VOC,0.56,V
247,31 ja808373p.pdf,unknown,FF,0.654,%
248,31 ja808373p.pdf,unknown,PCE,5.30,%
249,31 ja808373p.pdf,unknown,JSC,15.1,mA/cm2
250,32 ja9064975.pdf,PBDTTT-based,PCE,6.3,%
251,32 ja9064975.pdf,PBDTTT-C-based,JSC,14.1,mA/cm2
252,33 c2jm34629j.pdf,unknown,PCE,2.24,%
253,33 c2jm34629j.pdf,PDTT,PCE,3.64,%
254,33 c2jm34629j.pdf,unknown,JSC,9.85,mAcm-2
