,Paper,Material,Property,Value,Unit
0,15.html,unknown,PCE,0.6,%
1,15.html,P3HT,PCE,0.39,%
2,15.html,unknown,FF,0.43,N/A
3,15.html,P3HT:PDI(1:4)device,PCE,0.19,%
4,15.html,unknown,PCE,3.2,%
5,15.html,P3HT:PDI(1:4)device,VOC,0.40,V
6,15.html,PCBM,VOC,0.71,V
7,15.html,PCBM,FF,0.37,N/A
8,15.html,PCBM,PCE,0.63,%
9,15.html,unknown,JSC,6.7,N/A
10,15.html,PCBM,JSC,0.26,mAcm−2
11,15.html,unknown,VOC,0.7,V
12,15.html,P3HT:PDI(1:4)device,PCE,0.4,%
13,15.html,P3HT:PDI(1:4)device,FF,0.39,N/A
14,15.html,unknown,PCE,0.04,%
15,15.html,unknown,PCE,1.95,%
16,15.html,P3HT:PDI(1:4)device,JSC,0.12,mAcm−2
17,30.html,PCTDPP,PCE,2.27,%
18,30.html,PCPDTBT/PC71BM,PCE,5.5,%
19,30.html,PCTDPP,PCE,10.87,mA/cm2
20,30.html,PCBM,PCE,6.60,mA/cm2
21,34.html,PBDTDPT2,PCE,8.89,mAcm−2
22,34.html,PBDTDPT2,FF,0.51,N/A
23,34.html,PBDTDPT2,FF,0.57,N/A
24,34.html,PBDTDPT2,PCE,1.49,%
25,34.html,PBDTDPT2,PCE,4.79,%
26,34.html,PBDTDPT1,PCE,1.95,%
27,34.html,PBDTDPT2,VOC,0.91,V
28,34.html,PBDTDPT2,PCE,4.12,%
29,34.html,PBDTDPT1,FF,0.62,N/A
30,34.html,PBDTDPT2,JSC,10.34,mAcm−2
31,77.html,PBDT-DODTBT,VOC,0.2,V
32,77.html,unknown,FF,0.46,N/A
33,77.html,unknown,JSC,6.5,mAcm−2
34,77.html,PC71BM,VOC,0.94,V
35,77.html,PC71BM,PCE,2.81,%
36,92.html,unknown,VOC,0.76,V
37,92.html,unknown,JSC,11.8,mAcm−2
38,92.html,unknown,PCE,4.7,%
39,92.html,unknown,FF,0.52,N/A
40,110.html,unknown,PCE,2.78,%
41,110.html,unknown,FF,0.37799999999999995,%
42,110.html,unknown,JSC,8.65,N/A
43,154.html,unknown,FF,0.602,%
44,154.html,PC71BM,FF,0.609,%
45,154.html,AOAPPO,VOC,0.66,V
46,154.html,unknown,VOC,0.92,V
47,154.html,AOAPPO,PCE,0.46,%
48,154.html,unknown,PCE,4.2,%
49,154.html,unknown,JSC,5.46,mAcm−2
50,154.html,unknown,PCE,4.54,%
51,154.html,PC71BM,VOC,0.78,V
52,154.html,AOAPPO,JSC,1.51,mAcm−2
53,154.html,unknown,PCE,0.3,%
54,154.html,unknown,FF,0.596,%
55,154.html,unknown,PCE,6.5,%
56,154.html,unknown,PCE,2.15,%
57,154.html,PC71BM,JSC,7.32,mAcm−2
58,154.html,unknown,JSC,8.19,mAcm−2
59,154.html,TVCN(Eg,PCE,2.2,%
60,154.html,PC71BM,PCE,3.47,%
61,200.html,PBDTTT-E,VOC,0.70,V
62,200.html,PBDTTT,VOC,0.70,V
63,200.html,PBDTTT-S,VOC,0.76,V
64,200.html,PBDTTT-S,PCE,6.22,%
65,200.html,PBDTTT,PCE,6.3,%
66,204.html,PC71BM,PCE,4.02,%
67,204.html,unknown,JSC,8.96,N/A
68,204.html,unknown,PCE,7.4,%
69,204.html,PEDOT:PSS,PCE,4.02,%
70,204.html,unknown,PCE,5,N/A
71,204.html,unknown,PCE,5.4,%
72,204.html,unknown,FF,0.59,N/A
73,205.html,unknown,VOC,0.84,V
74,205.html,unknown,JSC,10.59,mAcm−2
75,205.html,unknown,FF,0.49,N/A
76,205.html,HOMO,VOC,0.86,N/A
77,262.html,unknown,FF,0.45,N/A
78,262.html,unknown,PCE,1.3,%
79,262.html,unknown,VOC,0.68,V
80,271.html,unknown,PCE,1.76,%
81,271.html,PC71BM,PCE,6.3,%
82,271.html,PBDTT–ID,JSC,8.95,mAcm−2
83,271.html,PBDTT–FID,PCE,5.52,%
84,271.html,PNFBr,JSC,11.30,mAcm−2
85,271.html,PNFBr,VOC,0.90,V
86,271.html,PNFBr,PCE,7.04,%
87,271.html,PNFBr,PCE,5.70,%
88,271.html,PBDTT–FID:PC71BM(1:2,JSC,9.62,mAcm−2
89,271.html,PBDTT–FID:PC71BM(1:2,PCE,5.52,%
90,271.html,PBDTT–ID,FF,0.60,N/A
91,271.html,PNFBr,FF,0.62,N/A
92,271.html,PBDTT–ID,VOC,0.88,V
93,271.html,PBDTT–FID,PCE,7.04,%
94,271.html,PBDTT–ID,PCE,4.76,%
95,271.html,PNFBr,VOC,0.92,V
96,271.html,PBDTT–FID:PC71BM(1:2,VOC,0.94,V
97,271.html,PBDTT–FID:PC71BM(1:2,FF,0.61,N/A
98,271.html,PNFBr,FF,0.68,N/A
99,271.html,PNFBr,JSC,10.16,mAcm−2
100,273.html,unknown,VOC,0.82,V
101,273.html,unknown,PCE,5,%
102,273.html,PCBM,PCE,1.19,%
103,273.html,unknown,VOC,0.81,V
104,273.html,PCBM,PCE,0.79,%
105,273.html,unknown,PCE,8.37,%
106,289.html,PC71BM,JSC,13.4,mAcm−2
107,289.html,PC71BM)as,PCE,6.81,%
108,289.html,PC71BM,FF,0.551,%
109,289.html,PC71BM,VOC,0.82,V
110,289.html,unknown,JSC,15.1,mAcm−2
111,289.html,PC71BM,PCE,6.05,%
112,289.html,unknown,VOC,0.83,V
113,303.html,PCBM,PCE,5.61,%
114,303.html,PC71BM,PCE,2.80,%
115,303.html,unknown,VOC,0.78,V
116,303.html,PC71BM,PCE,4.79,%
117,303.html,PC71BM,PCE,2.62,%
118,303.html,PC71BM,PCE,5.61,%
119,303.html,unknown,JSC,11.79,mAcm−2
120,303.html,unknown,FF,0.41,N/A
121,303.html,unknown,FF,0.61,N/A
122,309.html,unknown,JSC,11,N/A
123,309.html,unknown,JSC,11.6,mAcm−2
124,309.html,unknown,PCE,4.5,%
125,309.html,unknown,JSC,18.6,mAcm−2
126,309.html,PC70BM,VOC,0.61,V
127,309.html,unknown,VOC,0.56,V
128,309.html,unknown,PCE,4.32,N/A
129,309.html,PC70BM,FF,0.43,N/A
130,309.html,unknown,FF,0.42,N/A
131,309.html,unknown,PCE,1,N/A
132,309.html,unknown,PCE,2.85,%
133,309.html,unknown,JSC,18.4,N/A
134,309.html,unknown,VOC,0.56,N/A
135,309.html,PC70BM,PCE,1.2,%
136,309.html,PC70BM,JSC,4.68,mAcm−2
137,330.html,unknown,VOC,0.59,N/A
138,330.html,unknown,FF,0.49,N/A
139,333.html,PDITTBT/PC71BM(1,VOC,0.88,V
140,333.html,PDIDTDTBT-based,FF,0.584,N/A
141,333.html,P3HT/PCBM-based,VOC,1.14,V
142,333.html,P3HT:DMPCBA,VOC,0.87,V
143,333.html,PDITTDTBT/DMPCBA(1,PCE,3.6,%
144,333.html,PDIDTDTBT/PC71BM(1:2,PCE,1.65,%
145,333.html,PDITTBT/PC71BM(1,PCE,2.7,%
146,333.html,PDIDTDTBT/PC71BM(1:2,JSC,5.3,mAcm−2
147,333.html,PDIDTDTBT/PC71BM(1:2,VOC,0.7,V
148,333.html,PDIDTDTBT-based,JSC,10.71,N/A
149,333.html,P3HT/PCBM-based,PCE,3.6,%
150,333.html,PDITTDTBT/PC71BM(1:4,PCE,5.8,%
151,333.html,PDITTBT/PC71BM(1,FF,0.414,%
152,333.html,PDITTDTBT/PC71BM(1:4,JSC,10.71,mAcm−2
153,333.html,PDITTDTBT/PC71BM(1:4,FF,0.584,%
154,333.html,PDITTDTBT/DMPCBA(1,JSC,8.97,mAcm−2
155,333.html,PDITTDTBT/PC71BM(1:4,VOC,0.92,V
156,333.html,PDITTDTBT/DMPCBA(1,VOC,1.14,V
157,333.html,PDITTBT/PC71BM(1,JSC,7.46,mAcm−2
158,333.html,PDIDTDTBT-based,VOC,0.92,N/A
159,333.html,PDIDTDTBT-based,PCE,5.8,N/A
160,334.html,PFDCTBT,PCE,2.8,%
161,334.html,PFDCTBT,FF,0.38,N/A
162,334.html,PCDTBT,PCE,3.7,%
163,334.html,PFDCTBT,VOC,0.77,V
164,334.html,PCDCTBT,FF,0.43,N/A
165,334.html,PCDCTBT,VOC,0.80,V
166,334.html,PCDCTBT,PCE,3.7,%
167,334.html,PFDCTBT,JSC,9.5,mAcm−2
168,334.html,PCDCTBT,JSC,10.7,mAcm−2
