,0,1,2,V OC (V),J SC (mA/cm-2),FF (%),PCE (%)
68_2_0,In ODCB drop-coating,,,0.82,5.62,42.48,1.96
68_2_1,,PBDTPO-FBT:PC71BM=1:1.5,,0.81,5.80,40.29,1.89
68_2_2,,PBDTPO-FBT:PC71BM=1:2,,0.77,5.63,36.64,1.59
68_2_3,In ODCB with DIO drop-coating,,,0.81,6.72,45.72,2.49
68_2_4,3%,,,0.79,7.23,47.08,2.70
68_2_5,PBDTPO-FBT:PC71BM=1:1.5,,,0.80,6.48,42.72,2.22
68_2_6,PBDTPO-FBT:PC71BM=1:2,,,0.76,6.40,40.13,1.95
114_1_0,poly(NTD-TPA),,,0.77,5.21,0.34,1.36
114_1_1,poly(NTD-TPA),,,0.79,6.87,0.40,2.15
114_1_2,poly(CR-TPA),,,0.77,4.19,0.31,1.01
114_1_3,poly(CR-TPA),,,0.76,6.02,0.33,1.52
127_2_0, P1 ,,,620,6.92,0.66,2.85
127_2_1, P2 ,,,640,9.30,0.58,3.44
127_2_2, P3 ,,,730,11.49,0.53,4.49
127_2_3,PBDT-BTA,,,600,10.71,0.65,4.17
135_2_0, P(PTQD-Th) ,,,0.96,7.92,0.48,3.65 (3.55) a 
135_2_1,w,,,0.92,10.76,0.56,5.54 (5.48) a 
135_2_2, P(PTQD-2Th) ,,,0.84,9.04,0.52,3.95 (3.86) a 
135_2_3,w,,,0.80,11.82,0.60,5.67 (5.58) a 
141_1_0,PFTTz,,,0.91,7.20,0.40,2.64
141_1_1,PCTTz,,,0.76,2.27,0.41,0.71
141_1_2,PBTTz,,,0.52,4.64,0.58,1.41
146_1_0, PCTTPD a ,,,0.94,2.70,0.45,1.14
146_1_1, PCTTTPD ,,,0.90,3.86,0.36,1.25
146_1_2, PCBTTPD ,,,0.86,7.79,0.51,3.42
151_2_0,PTP36-DBT,,,0.71,3.4,25.6,0.6
151_2_1,PTP36-DBT,,,0.79,4.4,26.8,0.9
151_2_2,PTP27-DBT,,,0.75,10.4,40.7,3.1
151_2_3,PTP27-DBT,,,0.82,10.2,41,3.5
155_0_0,Device 1,,,0.78,7.8,44,2.7
155_0_1,Device 2,,,0.87,6.6,55,3.2
155_0_2,Device 3,,,0.85,9.1,59,4.4
155_0_3,Device 4,,,0.85,9.4,59,4.7
155_0_4,Device 5,,,0.85,8.8,59,4.4
155_0_5,Device 6,,,0.88,9.3,67,5.5
155_0_6,Device 7,,,0.87,10.7,65,6.0
155_0_7,Device 8,,,0.87,10.9,64,6.1
155_0_8,Device 9,,,0.87,11.0,67,6.4
155_0_9,Device 10,,,0.90,10.21,69,6.3
155_0_10,Device 11,,,0.89,10.77,67,6.4
155_0_11,Device 12,,,0.89,10.54,70,6.6
155_0_12,Device 13,,,0.93,10.89,70,7.1
174_0_0,Device 1,,,0.78,7.8,44,2.7
174_0_1,Device 2,,,0.87,6.6,55,3.2
174_0_2,Device 3,,,0.85,9.1,59,4.4
174_0_3,Device 4,,,0.85,9.4,59,4.7
174_0_4,Device 5,,,0.85,8.8,59,4.4
174_0_5,Device 6,,,0.88,9.3,67,5.5
174_0_6,Device 7,,,0.87,10.7,65,6.0
174_0_7,Device 8,,,0.87,10.9,64,6.1
174_0_8,Device 9,,,0.87,11.0,67,6.4
174_0_9,Device 10,,,0.90,10.21,69,6.3
174_0_10,Device 11,,,0.89,10.77,67,6.4
174_0_11,Device 12,,,0.89,10.54,70,6.6
174_0_12,Device 13,,,0.93,10.89,70,7.1
190_2_0,PBT-S,,,0.64,14.9,70.3,6.70
190_2_1,PBT-SO2-M,,,0.81,5.95,37.9,1.82
190_2_2,PBT-SO2-H,,,0.71,14.6,62.9,6.52
197_2_0,PQ1,,,0.98,2.18,42.03,0.90
197_2_1, PQ1 ,,, 1.01 , 2.12 , 50.68 , 1.08 
197_2_2,PQ1,,,0.98,1.98,53.36,1.03
197_2_3,PQ1,,,0.86,2.37,37.47,0.77
197_2_4,PQ1,,,0.87,2.36,39.04,0.80
197_2_5,PQ2,,,0.74,5.31,41.82,1.64
197_2_6,PQ2,,,0.83,7.06,58.43,3.41
197_2_7,PQ2,,,0.81,5.75,66.47,3.08
197_2_8,PQ2,,,0.82,7.72,56.10,3.54
197_2_9, PQ2 ,,, 0.80 , 7.68 , 62.05 , 3.80 
197_2_10,PQ3,,,0.75,1.47,48.74,0.54
197_2_11,PQ3,,,0.75,1.47,53.67,0.59
197_2_12,PQ3,,,0.76,1.19,58.15,0.53
197_2_13,PQ3,,,0.77,2.35,56.55,1.02
197_2_14, PQ3 ,,, 0.78 , 2.67 , 52.36 , 1.09 
197_2_15,PQ4,,,0.83,4.20,43.22,1.52
197_2_16,PQ4,,,0.90,4.57,49.63,2.04
197_2_17,PQ4,,,0.89,3.96,47.48,1.67
197_2_18, PQ4 ,,, 0.94 , 6.17 , 48.80 , 2.83 
197_2_19,PQ4,,,0.92,5.84,50.38,2.70
197_3_0,PQ1,,,1.01,2.12,56,1.08
197_3_1,PQ1,,,0.87,2.36,39.04,0.80
197_3_2,PBDT-TTz,,,0.92,6.21,58,3.32
197_3_3,PBDT-1T-TTz,,,0.92,8.02,40.9,3.0
197_3_4,PQ2,,,0.81,5.75,66.47,3.08
197_3_5,PBT-3T,,,0.47,2.15,34,0.34
197_3_6,PQ3,,,0.78,2.67,52.36,1.09
197_3_7,PDPP-BDT,,,0.68,8.40,44.3,2.53
197_3_8,PQ4,,,0.89,3.96,47.48,1.67
197_3_9,PBDTTEH–DTHBTff,,,0.68,11.87,55.2,4.46
227_1_0,CB,,,0.94,5.81,45.8,2.50
227_1_1,ODCB,,,0.96,6.24,54.9,3.29
227_1_2,CF,,,0.91,9.29,63.9,5.40
227_1_3,CF+0.5%DIO,,,0.89,8.82,49.8,3.91
227_1_4,CF+0.75%DIO,,,0.91,9.20,57.9,4.85
227_1_5,CF+1%DIO,,,0.93,7.11,64.1,4.24
227_1_6,CF+1%DIO,,,0.92,10.94,60.4,6.08
227_1_7,CF+1%DIO,,,0.90,11.17,58.8,5.91
227_1_8,CF+1.5%DIO,,,0.92,9.66,62.3,5.54
227_1_9,CF+2%DIO,,,0.92,9.55,58.6,5.15
227_1_10,CF+3%DIO,,,0.92,10.26,58.8,5.56
227_2_0,PBDTTPD,,,0.99,8.70,45.3,3.87
227_2_1,PBDTTPD-HT,,,0.92,10.94,60.4,6.08
248_2_0,PBDTDT(Qx-2)-O/PC71BM,,,0.91,9.38,52.0,4.44
248_2_1,PBDTDT(Qx-2)-T/PC71BM,,,0.95,10.82,61.4,6.31
254_2_0,PTTPPz-BDT/PC61BM,,,0.73,7.82,61.1,3.49
254_2_1,PTTPPz-BDT/PC71BM,,,0.74,9.79,58.2,4.25
254_2_2,PTTPPz-BDTT/PC61BM,,,0.68,9.40,58.3,3.71
254_2_3,PTTPPz-BDTT/PC71BM,,,0.70,11.10,62.5,4.86
281_1_0, P1 ,,,0.78,5.21,52.2,2.13
281_1_1, P1 + DIO,,,0.83,5.28,51.0,2.22
281_1_2, P2 ,,,0.76,6.40,49.2,2.40
281_1_3, P2 + DIO,,,0.83,8.74,61.2,4.44
299_3_0, PTF1 ,,,0.57,2.95,0.30,0.51
299_3_1, POF1 ,,,0.70,2.85,0.26,0.52
299_3_2, PTF2 ,,,0.70,6.92,0.36,1.76
299_3_3, POF2 ,,,0.77,5.33,0.34,1.41
299_4_0, PTF1 ,,,0.72,4.97,0.29,1.04
299_4_1, POF1 ,,,0.79,5.17,0.30,1.22
299_4_2, PTF2 ,,,0.72,8.70,0.34,2.13
299_4_3, POF2 ,,,0.77,5.25,0.40,1.60
300_1_0,Avg,,,,,,
300_1_1,P1:PC71BM (1:3),,,0.77,,,
300_1_2,P2:PC71BM (1:3),,,0.75,,,
347_2_0,1:1 a ,,,0.75,1.63,32,0.39
