,0,1,2,V OC (V),J SC (mA/cm-2),FF (%),PCE (%)
12_0_0,ZnO,,,0.7,13.75,69.0,6.65
12_0_1,ZnO‐C60,,,0.73,15.41,73.0,8.21
12_0_2,ZnO,,,0.79,14.02,69.1,7.64
12_0_3,ZnO‐C60,,,0.8,15.73,74.3,9.35
13_0_0,1:1,,,0.76,13.58,54.51,5.63
13_0_1,1:1.5,,,0.75,13.56,59.23,6.02
13_0_2,1:2,,,0.75,11.4,62.16,5.31
13_1_0,DCB,,,0.74,13.95,60.25,6.22
13_1_1,DCB+DIO,,,0.74,14.09,68.85,7.18
13_1_2,CB,,,0.76,10.2,50.52,3.92
13_1_3,CB+DIO,,,0.74,14.5,68.97,7.4
19_1_0,P1,,,0.82,1.52,0.38,
19_1_1,P2,,,0.66,0.55,0.35,
19_1_2,P3,,,0.91,0.86,0.44,
21_0_0,P1,,,,,5.1,
21_0_1,P2,,,,,5.05,
21_0_2,P3,,,,,4.8,
21_1_0,1,,,0.39,1.31,16,0.09
21_1_1,2,,,0.36,2.41,22,0.19
21_1_2,3,,,0.38,2.69,22,0.23
21_1_3,4,,,0.42,3.37,23,0.32
21_1_4,5,,,0.41,4.37,28,0.5
21_1_5,6,,,0.41,5.16,29,0.61
38_0_0,19 kg mol–1 / ZnO,,,0.92 (0.90 ± 0.02),9.5 (9.3 ± 0.3),50 (49 ± 3),4.4 (4.25 ± 0.30)
38_0_1,78 kg mol–1 / ZnO,,,0.92 (0.92 ± 0.01),13.6 (13.4 ± 0.3),60 (60 ± 2),7.6 (7.40 ± 0.30)
38_0_2,112 kg mol–1 / ZnO,,,0.92 (0.92 ± 0.01),14.5 (14.3 ± 0.2),64 (62 ± 2),8.5 (8.45 ± 0.25)
38_0_3,136 kg mol–1 / ZnO,,,0.90 (0.90 ± 0.02),13.4 (13.1 ± 0.3),53 (51 ± 3),6.4 (6.20 ± 0.30)
38_0_4,112 kg mol–1 / ZnO / PCBEOHb)b)Average of 80 devices.,,,0.92 (0.92 ± 0.01),15.4 (15.4 ± 0.7),66 (64 ± 3),9.4 (9.15 ± 0.35)
42_1_0,PBDTTT‐S‐T,,,0.83,11.41,48.57,4.6
42_1_1,1:1.5,,,11.79,52.12,5.0,
42_1_2,1:2,,,9.91,54.92,4.41,
42_1_3,PDT‐S‐T,,,0.76,14.36,59.65,6.51
42_1_4,1:1.5,,,16.63,64.13,7.79,
42_1_5,1:2,,,14.75,63.48,6.74,
42_2_0,PBDTTT‐S‐T,,,0.78,11.28,59.3,5.22
42_2_1,1,,,11.33,61.4,5.43,
42_2_2,2,,,12.27,61.98,5.93,
42_2_3,3,,,12.06,59.97,5.64,
42_2_4,PDT‐S‐T,,,0.71,16.38,62.39,7.26
42_2_5,1,,,16.68,56.9,6.74,
42_2_6,2,,,16.3,54.88,6.35,
42_2_7,3,,,16.32,50.87,5.81,
43_1_0,PBDTTT‐S,,,0.76,13.85,58.0,6.11 (6.36)
43_1_1,PBDTDTTT‐S‐T,,,0.69,16.35,66.3,7.48 (7.81)
44_2_0,PBDTBT,,,0.76,5.32,42.31,1.71
44_2_1,PBDTBT,,,0.76,4.87,41.73,1.55
44_2_2,PBDTDTBT,,,0.84,7.81,51.16,3.35
44_2_3,PBDTDTBT,,,0.79,13.56,69.1,7.4
51_2_0,PBDT‐T8‐TPD,,,0.96,5.9,38.1,2.16
51_2_1,PBDT‐T8‐TPD,,,1.0,9.79,63.0,6.17
51_2_2,PBDT‐T10‐TPD,,,0.92,8.18,55.1,4.15
51_2_3,PBDT‐T10‐TPD,,,0.92,8.92,55.0,4.51
51_2_4,PBDT‐T12‐TPD,,,0.96,6.69,49.0,3.14
51_2_5,PBDT‐T12‐TPD,,,0.95,8.94,53.2,4.5
51_2_6,PBDT‐TPD,,,0.85,8.63,47.5,3.48
51_2_7,PBDT‐TPD,,,0.9,10.74,49.4,4.77
72_0_0,DTBT,,,0.81,,,
72_0_1,DTfBT,,,0.85,,,
72_0_2,DTffBT,,,0.91,,,
72_1_0,DTBT,,,0.81,10.1,38.3,
72_1_1,DTBT,,,0.79,11.0,44.2,
72_1_2,DTBT,,,0.78,11.7,47.6,
72_1_3,,,,,,,
72_1_4,DTfBT,,,0.83,11.2,46.5,
72_1_5,DTfBT,,,0.85,11.4,50.6,
72_1_6,DTfBT,,,0.84,11.5,52.2,
72_1_7,,,,,,,
72_1_8,DTffBT,,,0.91,11.9,52.1,
72_1_9,DTffBT,,,0.91,12.7,56.2,
72_1_10,DTffBT,,,0.9,12.2,62.1,
109_2_0,PF‐C12NT,,,0.93,7.93,53.2,3.93
109_2_1,,,,0.89,9.59,64.54,5.51
109_2_2,,,,0.87,12.19,61.36,6.51
109_2_3,PAF‐C12NT,,,0.69,8.45,62.46,3.64
109_2_4,,,,0.69,9.12,54.77,3.45
109_2_5,,,,0.64,10.37,47.52,3.15
109_2_6,PCz‐C12NT,,,0.82,7.99,46.55,3.05
109_2_7,,,,0.77,8.85,59.7,4.07
109_2_8,,,,0.76,11.31,56.41,4.85
109_2_9,PBDT‐C12NT,,,0.7,10.78,62.44,4.71
109_2_10,,,,0.68,10.74,68.53,5.0
109_2_11,,,,0.68,11.74,58.4,4.66
112_0_0,NT1014,,,0.77,7.25 ± 0.18,52.94 ± 0.70,3.03 (2.93)
112_0_1,NT812,,,0.72,18.62 ± 0.27,66.70 ± 1.11,9.21 (9.09)
112_0_2,NT812,,,0.72,19.09 ± 0.19,72.85 ± 1.33,10.33 (10.18)
112_0_3,NT812,,,0.72,19.94 ± 0.36,71.45 ± 1.00,10.23 (10.01)
112_0_4,NT812,,,0.72,19.91 ± 0.15,70.64 ± 0.69,10.22 (10.11)
112_0_5,NT812,,,0.72,20.61 ± 0.62,66.99 ± 1.38,10.20 (10.10)
113_2_0,PαNDTDTNT,,,,,3.24 × 104,
113_2_1,,,,,,7.60 × 105,
113_2_2,PβNDTDTNT,,,,,1.98 × 104,
113_2_3,,,,,,6.71 × 107,
113_3_0,1,,,0.78,9.31,52.0,3.78
113_3_1,2,,,0.84,13.7,58.4,6.72
113_3_2,3,,,0.78,14.45,65.4,7.37
113_3_3,4,,,0.8,15.55,64.4,8.01
113_3_4,5,,,0.84,4.64,43.4,1.69
113_3_5,6,,,0.8,8.41,53.5,3.6
116_0_0,PDCBT/PC71BM,,,0.93,8.8,71,5.8 (5.6)
116_0_1,,,,0.93,9.9,71,6.5 (6.3)
116_0_2,,,,0.94,10.2,72,6.9 (6.7)
116_0_3,,,,0.91,11.0,72,7.2 (7.0)
116_0_4,,,,0.95,10.5,69,6.9 (6.7)
116_0_5,,,,0.92,10.3,70,6.6 (6.3)
116_0_6,,,,0.92,10.5,68,6.5 (6.2)
116_0_7,,,,0.91,10.6,66,6.4 (6.1)
116_0_8,,,,0.92,8.8,66,5.3 (5.2)
116_0_9,PDCBT/PC61BM,,,0.9,11.1,63,6.3 (6.1)
116_0_10,P3HT/PC71BM,,,0.63,4.5,62,1.8 (1.7)
116_0_11,,,,0.59,9.6,69,3.9 (3.8)
116_0_12,P3HT/PC61BM,,,0.61,9.7,65,3.9 (3.7)
123_1_0,P3HST,,,0.63,,0.34,0.34
123_1_1,P3HST‐co‐Th,,,0.63,,0.34,0.5
128_0_0,PBDT‐3MT,,,0.84,10.5,40,3.53
128_0_1,,,,0.86,8.25,47,3.33
128_0_2,,,,0.84,4.63,43,1.67
128_0_3,,,,0.85,4.06,46,1.59
128_0_4,,,,0.86,10.5,50,4.52
128_0_5,,,,0.84,10.58,44,3.91
128_0_6,,,,0.85,5.47,37,2.6
128_0_7,P3CTV,,,0.86,5.47,43,2.0126
128_0_8,PCTDBT,,,0.8,6.94,42,2.3229
133_0_0,P1:[70]PCBM (1:1.5 wt/wt),,,0.95,1.03,0.38,0.38
133_0_1,P1:[70]PCBM (1:1.5 wt/wt),,,0.9,5.01,0.42,1.9
133_0_2,P2:[70]PCBM (1:1.5 wt/wt),,,0.91,2.89,0.48,1.27
133_0_3,P2:[70]PCBM (1:1.5 wt/wt),,,0.91,10.08,0.61,5.53
133_1_0,P2:[70]PCBM (1:1 wt/wt),,,0.86,10.88,0.56,5.21
133_1_1,P2:[70]PCBM (1:1 wt/wt),,,0.87,10.43,0.53,4.81
133_1_2,P2:[70]PCBM (1:1 wt/wt),,,0.94,10.16,0.61,5.77
133_1_3,P2:[70]PCBM (1:1 wt/wt),,,0.88,10.08,0.62,5.48
134_1_0,P1,,,0.91,8.5,0.63,4.87
134_1_1,,,,0.87,9.5,0.6,4.96
134_1_2,P2,,,0.81,6.7,0.59,3.2
134_1_3,,,,0.78,6.41,0.61,3.05
134_1_4,P3,,,0.76,4.91,0.56,2.09
134_1_5,,,,0.72,5.14,0.56,2.07
134_1_6,P4,,,0.95,4.93,0.49,2.29
134_1_7,,,,0.88,8.8,0.66,5.11
134_1_8,P5,,,0.86,1.06,0.36,0.33
134_1_9,,,,0.81,1.57,0.39,0.5
134_1_10,P6,,,0.81,6.66,0.62,3.34
134_1_11,,,,0.8,6.76,0.63,3.4
134_1_12,P7,,,0.88,8.14,0.61,4.37
134_1_13,,,,0.89,6.64,0.55,3.25
134_1_14,P8,,,0.93,5.61,0.45,2.35
134_1_15,,,,0.87,7.75,0.68,4.59
134_1_16,P9 ([60]PCBM),,,0.88,5.48,0.56,2.7
134_1_17,,,,0.85,10.4,0.63,5.6
134_1_18,P9 ([70]PCBM),,,0.85,13.17,0.64,7.13
137_0_0,PSOxTT,,,0.56,7.5,0.49,2.1 ± 0.17
137_0_1,PSOTT,,,0.62,10.2,0.65,4.1 ± 0.08
137_0_2,PSEHTT,,,0.65,12.6,0.61,5.0 ± 0.06
143_1_0,PITBT,,,0.962,11.78,47.6,5.40 (5.20 ± 0.20)
143_1_1,PITBT,,,0.943,12.51,50.18,5.92 (5.60 ± 0.32)
143_1_2,PITFBT,,,0.995,12.29,54.95,6.72 (6.43 ± 0.29)
143_1_3,PITFBT,,,0.903,15.36,65.89,9.14 (9.01 ± 0.13)
149_0_0,No,,,0.91,10.1,57.9,5.32 (5.22)
149_0_1,No,,,0.92,12.98,58.16,6.95 (6.83)
149_0_2,C‐PCBSD,,,0.93,14.11,56.33,7.39 (7.10)
150_1_0,P1:PC71BM,,,0.95,3.2,0.44,1.31
150_1_1,P1:PC71BM,,,0.96,4.4,0.53,2.23
150_1_2,P2:PC71BM,,,0.9,1.3,0.45,0.53
150_1_3,P2:PC71BM,,,0.89,3.0,0.53,1.42
158_1_0,PC60BM,,,1.02,8.93,57.8,5.47/5.44
158_1_1,PC60BM,,,1.02,11.96,53.7,6.63/6.48
158_1_2,PC60BM,,,1.02,13.01,53.6,7.27/7.17
158_1_3,PC70BM,,,1.01,4.74,46.9,2.34/2.28
158_1_4,PC70BM,,,1.01,13.44,50.4,7.08/6.96
158_1_5,PC70BM,,,1.0,14.32,52.0,7.59/7.43
158_1_6,PC70BM,,,1.01,13.61,50.0,7.06/7.02
161_0_0,P1a)a) a)Structure of ITO/PEDOT:PSS/polymer:PC71BM/PFN/Al;,,,0.88,7.42,0.51,3.35
161_0_1,P2a)a) a)Structure of ITO/PEDOT:PSS/polymer:PC71BM/PFN/Al;,,,0.9,10.79,0.62,6.1
161_0_2,P3a)a) a)Structure of ITO/PEDOT:PSS/polymer:PC71BM/PFN/Al;,,,0.84,3.59,0.49,1.5
161_0_3,P2b)b) b)Inverted structure of ITO/P2:PC71BM/MoO3/Al;,,,0.69,9.71,0.56,3.8
161_0_4,P2c)c) c)Inverted structure of ITO/ZnO/P2:PC71BM/MoO3/Al;,,,0.9,9.38,0.64,5.47
161_0_5,P2d)d) d)Inverted structure of ITO/PF3N‐OX/P2:PC71BM/MoO3/Al.,,,0.92,11.71,0.65,7.11
165_0_0,As cast,,,0.91,12.8,59.92,6.98
165_0_1,90 °C,,,0.89,12.22,68.78,7.48
165_0_2,120 °C,,,0.87,13.5,71.09,8.35
165_0_3,120 °Ca)a)Device using PFN‐Br cathode interlayer/Al;,,,0.87,13.5,73.95,8.63
165_0_4,150 °C,,,0.85,13.2,71.8,8.06
167_0_0,–,,,1.02,9.3,56,5.3 (5.1)
167_0_1,1,,,0.98,11.2,73,8 (7.8)
167_0_2,1b)b)Inverted structure of ITO/PFN/PM6:PC71BM/MoO3/Au (80 nm);,,,0.98,12.7,74,9.2 (8.8)
167_0_3,1c)c)Semitransparent device with the structure of ITO/PFN/PM6:PC71BM/MoO3/Au (10 nm).,,,0.96,9.4,63,5.7 (5.4)
167_0_4,2,,,0.98,10.4,70,7.1 (6.9)
167_0_5,3,,,0.98,10.3,67,6.8 (6.6)
172_0_0,0%,,,0.94,13.2,67.3,8.35 (8.01)
172_0_1,0.2%,,,0.88,13.56,73.6,8.78 (8.58)
172_0_2,0.5%,,,0.92,14.11,75.0,9.74 (9.41)
172_0_3,0.7%,,,0.91,13.99,74.5,9.48 (9.28)
172_0_4,1.0%,,,0.89,13.17,72.5,8.50 (8.26)
173_0_0,,,,1.00 ± 0.01,8.08 ± 0.06,43.4 ± 0.7,3.5 ± 0.1
173_0_1,PBT1‐MP: PC71BM (DIO),,,0.97 ± 0.01,12.81 ± 0.09,72.2 ± 0.3,9.0 ± 0.1
173_0_2,,,,0.97 ± 0.01,12.32 ± 0.09,71.5 ± 0.2,8.5 ± 0.2
173_0_3,,,,0.99 ± 0.01,9.85 ± 0.11,39.3 ± 0.2,3.7 ± 0.1
173_0_4,PBT1‐EH: PC71BM (DIO),,,0.96 ± 0.01,14.14 ± 0.07,74.7 ± 0.3,10.1 ± 0.2
173_0_5,,,,0.95 ± 0.01,13.68 ± 0.08,72.6 ± 1.0,9.4 ± 0.1
173_0_6,,,,0.95 ± 0.01,8.94 ± 0.26,38.4 ± 0.2,3.2 ± 0.1
173_0_7,PBT1‐BO: PC71BM (DIO),,,0.92 ± 0.01,12.97 ± 0.16,67.2 ± 0.3,8.0 ± 0.1
173_0_8,,,,0.92 ± 0.01,12.76 ± 0.09,64.1 ± 0.6,7.5 ± 0.2
173_0_9,PBT1‐EH: ITIC‐Th (CN),,,0.99 ± 0.01,14.64 ± 0.11,61.4 ± 0.5,8.9 ± 0.2
173_0_10,,,,0.97 ± 0.01,15.52 ± 0.21,68.1 ± 1.1,10.3 ± 0.2
187_1_0,PBDTTT‐E,,,0.66,11.53,54.7,4.16
187_1_1,PBDTTT‐E‐T,,,0.68,14.59,62.6,6.21
187_1_2,PBDTTT‐C,,,0.7,15.51,59.2,6.43
187_1_3,PBDTTT‐C‐T,,,0.74,17.48,58.7,7.59
191_1_0,PBT‐T,,,0.63,9.9,58.2,3.63 (3.50)
191_1_1,,,,0.6,13.7,67.7,5.56 (5.45)
191_1_2,PBT‐OP,,,0.79,8.6,59.8,4.06 (3.96)
191_1_3,,,,0.78,13.4,71.8,7.50 (7.41)
196_0_0,"1:2a)a)0% DIO,",,,0.83,9.41,55.77,4.36 (4.28)
196_0_1,"1:2b)b)1.5% DIO,",,,0.8,11.94,65.1,6.21 (6.13)
202_1_0,P1,,,0.92,3.72,49,1.97
202_1_1,P1,,,0.92,3.47,49,1.82
202_1_2,P1,,,0.86,4.97,55,2.72
202_1_3,P2,,,0.89,4.13,51,2.2
202_1_4,P2,,,0.91,3.52,47,1.77
202_1_5,P2,,,0.78,2.54,47,1.09
202_1_6,P3,,,0.74,0.43,35,0.13
202_1_7,P4,,,0.68,0.11,28,0.03
203_1_0,PBnDT‐DTBT,,,0.87,10.03,57.3,5.0 (4.7)
203_1_1,PBnDT‐DTffBT,,,0.91,12.91,61.2,7.2 (6.9)
207_3_0,"P1aa Polymer:PC61BM = 1:3 (w/w) under the illumination of AM 1.5, 100 mA/cm2.",,,0.84,7.12,0.39,2.36/2.13/2.03
207_3_1,"P1bb Polymer:PC71BM = 1:3 (w/w) under the illumination of AM 1.5, 100 mA/cm2.",,,0.86,9.4,0.39,3.17/3.09/3.00
207_3_2,"P2aa Polymer:PC61BM = 1:3 (w/w) under the illumination of AM 1.5, 100 mA/cm2.",,,0.78,8.25,0.33,2.15/2.06/1.91
207_3_3,"P2bb Polymer:PC71BM = 1:3 (w/w) under the illumination of AM 1.5, 100 mA/cm2.",,,0.8,10.77,0.35,3.05/2.95/2.81
