,Paper,Material,Property,Value,Unit
0,1 PBTTT-C14.pdf,unknown,PCE,2.3,%
1,1 PBTTT-C14.pdf,pBTTT,PCE,2.3,%
2,1 PBTTT-C14.pdf,pBTTT:PC-71-BM,JSC,9.37,mA/cm2
3,1 PBTTT-C14.pdf,pBTTT:PC-71-BM,VOC,0.525,V
4,1 PBTTT-C14.pdf,unknown,VOC,0.525,V
5,1 PBTTT-C14.pdf,unknown,FF,0.48,N/A
6,1 PBTTT-C14.pdf,unknown,JSC,9.37,mA/cm2
7,2 Blouin_et_al-2007-Advanced_Materials.pdf,unknown,PCE,0.8,%
8,2 Blouin_et_al-2007-Advanced_Materials.pdf,unknown,VOC,0.89,V
9,2 Blouin_et_al-2007-Advanced_Materials.pdf,unknown,PCE,0.6,%
10,2 Blouin_et_al-2007-Advanced_Materials.pdf,unknown,VOC,0.9,V
11,2 Blouin_et_al-2007-Advanced_Materials.pdf,unknown,PCE,3.6,%
12,2 Blouin_et_al-2007-Advanced_Materials.pdf,PCBM,PCE,3.6,%
13,2 Blouin_et_al-2007-Advanced_Materials.pdf,unknown,PCE,3.0,N/A
14,3 PCPDTBT.pdf,unknown,JSC,15.7,mA/cm2
15,3 PCPDTBT.pdf,unknown,VOC,0.61,V
16,3 PCPDTBT.pdf,unknown,FF,0.53,N/A
17,3 PCPDTBT.pdf,unknown,PCE,5.1,%
18,4 PffBT4T.pdf,unknown,JSC,0.00079,N/A
19,4 PffBT4T.pdf,unknown,PCE,49.0,%
20,4 PffBT4T.pdf,unknown,PCE,7.7,%
21,4 PffBT4T.pdf,PCBM,FF,73,N/A
22,4 PffBT4T.pdf,unknown,PCE,10.36,N/A
23,4 PffBT4T.pdf,unknown,FF,72.0,N/A
24,4 PffBT4T.pdf,E135–E138(2010,PCE,7.4,%
25,4 PffBT4T.pdf,PCBM,PCE,9.6,N/A
26,4 PffBT4T.pdf,unknown,VOC,0.7743,N/A
27,4 PffBT4T.pdf,unknown,FF,0.75,N/A
28,5 PBDTTT-CF.pdf,unknown,PCE,6.77,%
29,5 PBDTTT-CF.pdf,PBDTTT–CF,PCE,7.38,N/A
30,5 PBDTTT-CF.pdf,PBDTTT–CF,PCE,7.73,%
