,REF_NO,PCE_AVERAGE,PCE_MAX,VOC,FF
0,1,2.3,2.3,"[0.525, 0.525, 0.525]","[0.48, 0.48]"
1,10,1.5333333333333334,2.4,"[0.57, 0.61, 0.62, 0.57, 0.56, 0.6, 0.6, 0.85]","[37.8, 32.1, 37.0, 49.7, 43.9, 39.4]"
2,102,9.278,10.0,"[0.84, 0.8]",[67.9]
3,103,4.45,6.3,"[0.43, 0.74, 0.76, 60.0, 60.0, 2.0, 20.0, 80.0]","[0.63, 0.69, 0.61]"
4,110,3.215,6.0,"[0.85, 0.92, 0.85, 0.56, 0.92, 0.85, 0.92, 0.8, 0.85]","[29.48, 37.8, 37.8]"
5,116,6.085714285714286,7.2,"[0.78, 0.91, 0.63, 0.55, 0.94, 0.63, 0.59, 0.9, 0.61, 0.91]","[72.0, 62.0, 72.0, 62.0, 69.0, 63.0, 65.0, 72.0]"
6,118,5.55,6.3,"[0.7, 2.0, 0.7]",[]
7,120,6.12,6.12,"[1.0, 0.93, 1.0, 1.0, 0.93, 0.93]","[0.49, 0.55]"
8,121,3.4,3.4,"[0.6, 0.65, 0.1, -0.1, 0.82, 0.2, 0.82]",[]
9,124,0.6,0.6,"[0.2, 0.75]",[0.34]
10,128,3.8819999999999992,4.52,"[0.86, 0.85, 0.86, 0.54, 0.73, 0.8, 1.05, 0.86, 0.84, 0.86]","[50.0, 50.0]"
11,13,6.205,7.4,"[0.75, 0.58, 15.0]","[59.23, 50.52]"
12,131,4.7,4.7,"[0.89, 0.95, 0.95]",[]
13,132,4.933333333333333,5.1,"[0.86, 0.85, 0.85, 0.85]","[0.69, 0.67]"
14,140,8.195714285714285,9.13,"[0.96, 0.96]","[61.0, 70.1, 75.5]"
15,144,5.574999999999999,6.1,"[0.81, 0.81, 0.81]","[0.69, 0.69, 0.69, 69.0, 0.69, 0.69]"
16,149,6.181111111111111,7.39,"[2.0, 0.93, 0.93, 2.0, 0.61, 2.0, 100.0, 60.0, 40.0, 0.0, 0.92, 0.91, 0.93, 2.0, 0.93]","[0.56, 0.56, 0.58, 0.58, 0.56, 0.56]"
17,15,0.6,0.6,"[20.0, 0.7, 0.71, 0.4, 0.3]","[0.43, 0.37, 0.39]"
18,155,5.8875,7.1,"[0.85, 0.85, 0.78, 0.89, 0.93]","[0.68, 66.0, 44.0, 67.0, 67.0, 70.0]"
19,157,4.85,7.0,"[0.87, 0.84, 0.85, 0.85, 0.87, 0.84, 0.87]","[49.5, 49.1]"
20,158,7.483333333333333,7.59,"[1.0, 1.0, 1.0, 0.99, 0.92, 1.02, 1.0, 1.0, 1.0, 1.02, 2.0, 1.0, 5.0]",[52.0]
21,159,,,"[0.89, 0.89, 0.89]",[]
22,165,8.307500000000001,9.7,"[0.87, 0.54, 1.34, 0.91, 0.54, -1.34, 2.0, 2.0]","[59.92, 71.09]"
23,167,7.087500000000001,9.2,"[0.18, 0.98, 0.74, 1.02, 0.98, 0.96, 0.98]","[56.0, 73.0, 63.0]"
24,17,5.425,6.1,"[0.88, 0.6, 0.9, 0.88, 0.88, 0.86, 0.88, 0.7173, 0.86, 0.88]","[5.0, 0.66, 0.66, 63.98, 65.0, 0.66]"
25,172,8.711428571428572,9.74,"[2.0, 0.94, 0.92, 0.91, 2.0, 2.0]","[75.0, 67.3, 75.0, 74.6, 70.3]"
26,176,4.5840000000000005,5.53,"[1.0, 0.63, 2.2, 0.98, 0.98]","[68.3, 69.5]"
27,184,5.066666666666666,6.1,"[0.8, 3.0, 3.0, -40.0, 0.16, 0.11, 0.62, 0.88]",[0.66]
28,193,7.984999999999999,8.66,"[0.61, 60.0, 0.8, 0.77, 1.57, 1.57, 2.0]","[0.64, 0.68, 0.66]"
29,194,7.720000000000001,8.13,"[0.74, 0.43, 0.73, 0.81, 0.08, 0.81]",[]
