,"
                           IFLs
                        ",,"
                           Device structures
                        ","
                           Device performance
                        ",,,,"
                           Ref.
                        "
0,"
                        Type of materials
                           ","
                        Materials
                           ",,"
                        (V) 
                           
                           OC
                              
                           
                           V
                              
                           ","
                        )
                           
                           2
                              
                           (mA/cm 
                           
                           SC
                              
                           
                           J
                              
                           ","
                        FF (%)
                           ","
                        PCE (%)
                           ",
1,"
                           ",WPF-6-oxy-F,ITO/PEDOT:PSS/P3HT:PC,0.62,9.89,59.0,3.67,66
2,PF6NO25-py,ITO/PEDOT:PSS/PCDTBT:PC,0.91,11.60,66.2,6.90,68,
3,PF6NO,ITO/PEDOT:PSS/PCDTBT:PC,0.93,7.27,62.8,6.07,69,
4,PFNSO-BT,ITO/PEDOT:PSS/PTB7:PC,0.65,16.76,61.1,6.61,70,
5,P3TMAHT,ITO/PEDOT:PSS/PCDTBT:PC,0.86,10.80,66.0,6.10,77,
6,PF2/6-b-P3TMAHT,ITO/PEDOT:PSS/PCDTBT:PC,0.89,10.60,67.0,6.20,77,
7,"
                           ",bis-PC,ITO/PEDOT:PSS/PIDT-PhanQ:PC,0.88,11.19,60.0,5.87,81
8,bis-PC,ITO/PEDOT:PSS/PIDT-PhanQ:PC,0.88,11.50,61.0,6.22,81,
9,ETL-1,ITO/PEDOT:PSS/PIDT-PhanQ:PC,0.87,11.28,64.0,6.28,82,
10,ETL-1,ITO/PEDOT:PSS/PIDT-PhanQ:PC,0.86,11.17,62.0,5.96,82,
11,"
                           ",Graphene oxide,ITO/PEDOT:PSS/P3HT:PC,0.62,10.28,62.2,3.94,87
12,BA-OCH,ITO/PEDOT:PSS/P3HT:PC,0.65,11.61,55.0,4.21,88,
13,BA-CH,ITO/PEDOT:PSS/P3HT:PC,0.64,11.63,49.0,3.63,88,
14,BA-H,ITO/PEDOT:PSS/P3HT:PC,0.64,11.46,48.0,3.48,88,
15,BA-SH,ITO/PEDOT:PSS/P3HT:PC,0.45,10.44,42.0,1.95,88,
16,BA-CF,ITO/PEDOT:PSS/P3HT:PC,0.30,8.97,31.0,0.84,88,
17,BA-CN,ITO/PEDOT:PSS/P3HT:PC,0.27,8.15,28.0,0.62,88,
